date,category,notes,fuel,elpePrice,motoroilPrice,unit,meanPrice,vatPrice
2018-12-19T00:00:00.000Z,ΑΣΦΑΛΤΟΣ,"τιμές σε €/μ.τ., προ φόρων – τελών και ΦΠΑ",ΒΕΑ 50/70 & 70/100,321.13,320.01,Μετρικός Τόνος,320.57,NaN
2018-12-19T00:00:00.000Z,ΑΣΦΑΛΤΟΣ,"τιμές σε €/μ.τ., προ φόρων – τελών και ΦΠΑ",ΒΕΑ 30/45,NaN,336.84,Μετρικός Τόνος,336.84,NaN
2018-12-19T00:00:00.000Z,ΑΣΦΑΛΤΟΣ,"τιμές σε €/μ.τ., προ φόρων – τελών και ΦΠΑ",ΒΕΑ 35/40,337.96,NaN,Μετρικός Τόνος,337.96,NaN
2018-12-19T00:00:00.000Z,ΑΣΦΑΛΤΟΣ,"τιμές σε €/μ.τ., προ φόρων – τελών και ΦΠΑ",ΒΕΘ 50/70,324.68,NaN,Μετρικός Τόνος,324.68,NaN
2018-12-20T00:00:00.000Z,Βενζίνες,"τιμές σε €/m3, συμπεριλ. φόρων – τελών, προ ΦΠΑ",UNLEADED LRP,1079.37,1120.08,Κυβικό Μέτρο,1099.725,1363.659
2018-12-20T00:00:00.000Z,Βενζίνες,"τιμές σε €/m3, συμπεριλ. φόρων – τελών, προ ΦΠΑ",UNLEADED 95,1076.258,1075.434,Κυβικό Μέτρο,1075.846,1334.049
2018-12-20T00:00:00.000Z,Βενζίνες,"τιμές σε €/m3, συμπεριλ. φόρων – τελών, προ ΦΠΑ",UNLEADED 100,1143.308,1143.338,Κυβικό Μέτρο,1143.323,1417.721
2018-12-20T00:00:00.000Z,Πετρέλαια,"τιμές σε €/m3, συμπεριλ. φόρων – τελών, προ ΦΠΑ",DIΕSEL AUTO BIO,933.838,932.811,Κυβικό Μέτρο,933.324,1157.322
2018-12-20T00:00:00.000Z,Πετρέλαια,"τιμές σε €/m3, συμπεριλ. φόρων – τελών, προ ΦΠΑ",HEATING GASOIL (ΧΠ),730.26,729.151,Κυβικό Μέτρο,729.706,904.835
2018-12-20T00:00:00.000Z,Υγραέρια – LPG,"τιμές σε €/μ.τ., συμπεριλ. φόρων – τελών, προ ΦΠΑ",LPG AUTO,864.618,865.004,Μετρικός Τόνος,864.811,1072.366
2018-12-20T00:00:00.000Z,Υγραέρια – LPG,"τιμές σε €/μ.τ., συμπεριλ. φόρων – τελών, προ ΦΠΑ",LPG ΘΕΡΜΑΝΣΗΣ,481.774,477.97,Μετρικός Τόνος,479.872,595.041
2018-12-20T00:00:00.000Z,Υγραέρια – LPG,"τιμές σε €/μ.τ., συμπεριλ. φόρων – τελών, προ ΦΠΑ",LPG ΒΙΟΜΗΧΑΝΙΑΣ,542.074,538.27,Μετρικός Τόνος,540.172,669.813
2018-12-20T00:00:00.000Z,Υγραέρια – LPG,"τιμές σε €/μ.τ., συμπεριλ. φόρων – τελών, προ ΦΠΑ",ΠΡΟΠΑΝΙΟ ΒΙΟΜΗΧΑΝΙΑΣ,629.983,653.842,Μετρικός Τόνος,641.912,795.971
2018-12-20T00:00:00.000Z,Υγραέρια – LPG,"τιμές σε €/μ.τ., συμπεριλ. φόρων – τελών, προ ΦΠΑ",ΒΟΥΤΑΝΙΟ ΒΙΟΜΗΧΑΝΙΑΣ,520.097,NaN,Μετρικός Τόνος,520.097,644.92
2018-12-20T00:00:00.000Z,ΜΑΖΟΥΤ-FUEL OIL,"τιμές σε €/μ.τ., συμπεριλ. φόρων – τελών, προ ΦΠΑ",Fuel Oil No 180 1%S,406.068,404.939,Μετρικός Τόνος,405.504,502.825
2018-12-20T00:00:00.000Z,ΜΑΖΟΥΤ-FUEL OIL,"τιμές σε €/μ.τ., συμπεριλ. φόρων – τελών, προ ΦΠΑ",Fuel Oil No 380 1%S,390.986,NaN,Μετρικός Τόνος,390.986,484.823
2018-12-20T00:00:00.000Z,ΚΗΡΟΖΙΝΗ – KERO,"τιμές σε €/μ.τ., προ φόρων – τελών και ΦΠΑ",KERO,532.39,NaN,Μετρικός Τόνος,532.39,NaN
2018-12-20T00:00:00.000Z,ΚΗΡΟΖΙΝΗ – KERO,"τιμές σε €/μ.τ., προ φόρων – τελών και ΦΠΑ",KERO SPECIAL,537.7,NaN,Μετρικός Τόνος,537.7,NaN
2018-12-20T00:00:00.000Z,ΑΣΦΑΛΤΟΣ,"τιμές σε €/μ.τ., προ φόρων – τελών και ΦΠΑ",ΒΕΑ 50/70 & 70/100,313.76,312.65,Μετρικός Τόνος,313.205,NaN
2018-12-20T00:00:00.000Z,ΑΣΦΑΛΤΟΣ,"τιμές σε €/μ.τ., προ φόρων – τελών και ΦΠΑ",ΒΕΑ 30/45,NaN,329.48,Μετρικός Τόνος,329.48,NaN
2018-12-20T00:00:00.000Z,ΑΣΦΑΛΤΟΣ,"τιμές σε €/μ.τ., προ φόρων – τελών και ΦΠΑ",ΒΕΑ 35/40,330.58,NaN,Μετρικός Τόνος,330.58,NaN
2018-12-20T00:00:00.000Z,ΑΣΦΑΛΤΟΣ,"τιμές σε €/μ.τ., προ φόρων – τελών και ΦΠΑ",ΒΕΘ 50/70,317.3,NaN,Μετρικός Τόνος,317.3,NaN
2018-12-21T00:00:00.000Z,Βενζίνες,"τιμές σε €/m3, συμπεριλ. φόρων – τελών, προ ΦΠΑ",UNLEADED LRP,1071.284,1111.974,Κυβικό Μέτρο,1091.629,1353.62
2018-12-21T00:00:00.000Z,Βενζίνες,"τιμές σε €/m3, συμπεριλ. φόρων – τελών, προ ΦΠΑ",UNLEADED 95,1068.193,1067.349,Κυβικό Μέτρο,1067.771,1324.036
2018-12-21T00:00:00.000Z,Βενζίνες,"τιμές σε €/m3, συμπεριλ. φόρων – τελών, προ ΦΠΑ",UNLEADED 100,1134.898,1134.918,Κυβικό Μέτρο,1134.908,1407.286
2018-12-21T00:00:00.000Z,Πετρέλαια,"τιμές σε €/m3, συμπεριλ. φόρων – τελών, προ ΦΠΑ",DIΕSEL AUTO BIO,925.215,924.188,Κυβικό Μέτρο,924.702,1146.63
2018-12-21T00:00:00.000Z,Πετρέλαια,"τιμές σε €/m3, συμπεριλ. φόρων – τελών, προ ΦΠΑ",HEATING GASOIL (ΧΠ),721.585,720.456,Κυβικό Μέτρο,721.021,894.066
2018-12-21T00:00:00.000Z,Υγραέρια – LPG,"τιμές σε €/μ.τ., συμπεριλ. φόρων – τελών, προ ΦΠΑ",LPG AUTO,858.922,859.278,Μετρικός Τόνος,859.1,1065.284
2018-12-21T00:00:00.000Z,Υγραέρια – LPG,"τιμές σε €/μ.τ., συμπεριλ. φόρων – τελών, προ ΦΠΑ",LPG ΘΕΡΜΑΝΣΗΣ,476.363,472.559,Μετρικός Τόνος,474.461,588.332
2018-12-21T00:00:00.000Z,Υγραέρια – LPG,"τιμές σε €/μ.τ., συμπεριλ. φόρων – τελών, προ ΦΠΑ",LPG ΒΙΟΜΗΧΑΝΙΑΣ,536.663,532.859,Μετρικός Τόνος,534.761,663.104
2018-12-21T00:00:00.000Z,Υγραέρια – LPG,"τιμές σε €/μ.τ., συμπεριλ. φόρων – τελών, προ ΦΠΑ",ΠΡΟΠΑΝΙΟ ΒΙΟΜΗΧΑΝΙΑΣ,622.274,646.021,Μετρικός Τόνος,634.148,786.344
